vya	ゔゃ
vyi	ゔぃ
vyu	ゔゅ
vye	ゔぇ
vyo	ゔょ
wwa	っわ
wwi	っうぃ
wwu	っう
wwe	っうぇ
wwo	っを
wwyi	っゐ
wwye	っゑ
wwha	っうぁ
wwhi	っうぃ
wwhu	っう
wwhe	っうぇ
wwho	っうぉ
kya	きゃ
kyi	きぃ
kyu	きゅ
kye	きぇ
kyo	きょ
gya	ぎゃ
gyi	ぎぃ
gyu	ぎゅ
gye	ぎぇ
gyo	ぎょ
sya	しゃ
syi	しぃ
syu	しゅ
sye	しぇ
syo	しょ
sha	しゃ
shi	し
shu	しゅ
she	しぇ
sho	しょ
zya	じゃ
zyi	じぃ
zyu	じゅ
zye	じぇ
zyo	じょ
tya	ちゃ
tyi	ちぃ
tyu	ちゅ
tye	ちぇ
tyo	ちょ
cha	ちゃ
chi	ち
chu	ちゅ
che	ちぇ
cho	ちょ
cya	ちゃ
cyi	ちぃ
cyu	ちゅ
cye	ちぇ
cyo	ちょ
dya	ぢゃ
dyi	ぢぃ
dyu	ぢゅ
dye	ぢぇ
dyo	ぢょ
tsa	つぁ
tsi	つぃ
tse	つぇ
tso	つぉ
tha	てゃ
thi	てぃ
t'i	てぃ
thu	てゅ
the	てぇ
tho	てょ
t'yu	てゅ
dha	でゃ
dhi	でぃ
d'i	でぃ
dhu	でゅ
dhe	でぇ
dho	でょ
d'yu	でゅ
twa	とぁ
twi	とぃ
twu	とぅ
twe	とぇ
two	とぉ
t'u	とぅ
dwa	どぁ
dwi	どぃ
dwu	どぅ
dwe	どぇ
dwo	どぉ
d'u	どぅ
nya	にゃ
nyi	にぃ
nyu	にゅ
nye	にぇ
nyo	にょ
hya	ひゃ
hyi	ひぃ
hyu	ひゅ
hye	ひぇ
hyo	ひょ
bya	びゃ
byi	びぃ
byu	びゅ
bye	びぇ
byo	びょ
pya	ぴゃ
pyi	ぴぃ
pyu	ぴゅ
pye	ぴぇ
pyo	ぴょ
fya	ふゃ
fyu	ふゅ
fyo	ふょ
hwa	ふぁ
hwi	ふぃ
hwe	ふぇ
hwo	ふぉ
hwyu	ふゅ
mya	みゃ
myi	みぃ
myu	みゅ
mye	みぇ
myo	みょ
jya	じゃ
jyi	じぃ
jyu	じゅ
jye	じぇ
jyo	じょ
rya	りゃ
ryi	りぃ
ryu	りゅ
rye	りぇ
ryo	りょ
xka	ヵ
xke	ヶ
lka	ヵ
lke	ヶ
lyi	ぃ
xyi	ぃ
lye	ぇ
xye	ぇ
kwa	くぁ
kwi	くぃ
kwe	くぇ
kwo	くぉ
gwa	ぐぁ
xtu	っ
xtsu	っ
ltu	っ
ltsu	っ
wha	うぁ
whi	うぃ
whu	う
whe	うぇ
who	うぉ
xwa	ゎ
lwa	ゎ
xya	ゃ
lya	ゃ
wye	ゑ
xyo	ょ
lyo	ょ
wyi	ゐ
xyu	ゅ
lyu	ゅ
tsu	つ
z/	・
z.	…
z,	‥
zh	←
zj	↓
zk	↑
zl	→
z-	〜
z[	『
z]	』
[	「
]	」
va	ゔぁ
vi	ゔぃ
vu	ゔ
ve	ゔぇ
vo	ゔぉ
qq	っ	q
vv	っ	v
ll	っ	l
xx	っ	x
kk	っ	k
gg	っ	g
ss	っ	s
zz	っ	z
jj	っ	j
tt	っ	t
dd	っ	d
hh	っ	h
ff	っ	f
bb	っ	b
pp	っ	p
mm	っ	m
yy	っ	y
rr	っ	r
fa	ふぁ
fi	ふぃ
fu	ふ
fe	ふぇ
fo	ふぉ
nn	ん
xn	ん
xa	ぁ
xi	ぃ
xu	ぅ
xe	ぇ
xo	ぉ
la	ぁ
li	ぃ
lu	ぅ
le	ぇ
lo	ぉ
ye	いぇ
ka	か
ki	き
ku	く
ke	け
ko	こ
ga	が
gi	ぎ
gu	ぐ
ge	げ
go	ご
sa	さ
si	し
su	す
se	せ
so	そ
ca	か
ci	し
cu	く
ce	せ
co	こ
qa	くぁ
qi	くぃ
qu	く
qe	くぇ
qo	くぉ
za	ざ
zi	じ
zu	ず
ze	ぜ
zo	ぞ
ja	じゃ
ji	じ
ju	じゅ
je	じぇ
jo	じょ
ta	た
ti	ち
tu	つ
te	て
to	と
da	だ
di	ぢ
du	づ
de	で
do	ど
na	な
ni	に
nu	ぬ
ne	ね
no	の
ha	は
hi	ひ
hu	ふ
fu	ふ
he	へ
ho	ほ
ba	ば
bi	び
bu	ぶ
be	べ
bo	ぼ
pa	ぱ
pi	ぴ
pu	ぷ
pe	ぺ
po	ぽ
ma	ま
mi	み
mu	む
me	め
mo	も
ya	や
yu	ゆ
yo	よ
ra	ら
ri	り
ru	る
re	れ
ro	ろ
wa	わ
wi	うぃ
we	うぇ
wo	を
cc	っ	c
a	あ
i	い
u	う
wu	う
e	え
o	お
n'	ん
n	ん
-	ー
~	〜
.	。
,	、

