Aacute,Á,193,Á
aacute,á,225,á
Acirc,Â,194,Â
acirc,â,226,â
acute,´,180,´
AElig,Æ,198,Æ
aelig,æ,230,æ
Agrave,À,192,À
agrave,à,224,à
alefsym,ℵ,8501,ℵ
Alpha,Α,913,Α
alpha,α,945,α
amp,&,38,&
and,∧,8743,∧
ang,∠,8736,∠
Aring,Å,197,Å
aring,å,229,å
asymp,≈,8776,≈
Atilde,Ã,195,Ã
atilde,ã,227,ã
Auml,Ä,196,Ä
auml,ä,228,ä
bdquo,„,8222,„
Beta,Β,914,Β
beta,β,946,β
brvbar,¦,166,¦
bull,•,8226,•
cap,∩,8745,∩
Ccedil,Ç,199,Ç
ccedil,ç,231,ç
cedil,¸,184,¸
cent,¢,162,¢
Chi,Χ,935,Χ
chi,χ,967,χ
circ,ˆ,710,ˆ
clubs,♣,9827,♣
cong,≅,8773,≅
copy,©,169,©
crarr,↵,8629,↵
cup,∪,8746,∪
curren,¤,164,¤
dagger,†,8224,†
Dagger,‡,8225,‡
darr,↓,8595,↓
dArr,⇓,8659,⇓
deg,°,176,°
Delta,Δ,916,Δ
delta,δ,948,δ
diams,♦,9830,♦
divide,÷,247,÷
Eacute,É,201,É
eacute,é,233,é
Ecirc,Ê,202,Ê
ecirc,ê,234,ê
Egrave,È,200,È
egrave,è,232,è
empty,∅,8709,∅
emsp, ,8195, 
ensp, ,8194, 
Epsilon,Ε,917,Ε
epsilon,ε,949,ε
equiv,≡,8801,≡
Eta,Η,919,Η
eta,η,951,η
ETH,Ð,208,Ð
eth,ð,240,ð
Euml,Ë,203,Ë
euml,ë,235,ë
euro,€,8364,€
exist,∃,8707,∃
fnof,ƒ,402,ƒ
forall,∀,8704,∀
frac12,½,189,½
frac14,¼,188,¼
frac34,¾,190,¾
frasl,⁄,8260,⁄
Gamma,Γ,915,Γ
gamma,γ,947,γ
ge,≥,8805,≥
gt,>,62,>
harr,↔,8596,↔
hArr,⇔,8660,⇔
hearts,♥,9829,♥
hellip,…,8230,…
Iacute,Í,205,Í
iacute,í,237,í
Icirc,Î,206,Î
icirc,î,238,î
iexcl,¡,161,¡
Igrave,Ì,204,Ì
igrave,ì,236,ì
image,ℑ,8465,ℑ
infin,∞,8734,∞
int,∫,8747,∫
Iota,Ι,921,Ι
iota,ι,953,ι
iquest,¿,191,¿
isin,∈,8712,∈
Iuml,Ï,207,Ï
iuml,ï,239,ï
Kappa,Κ,922,Κ
kappa,κ,954,κ
Lambda,Λ,923,Λ
lambda,λ,955,λ
lang,⟨,9001,〈
laquo,«,171,«
larr,←,8592,←
lArr,⇐,8656,⇐
lceil,⌈,8968,⌈
ldquo,“,8220,“
le,≤,8804,≤
lfloor,⌊,8970,⌊
lowast,∗,8727,∗
loz,◊,9674,◊
lrm, ,8206, 
lsaquo,‹,8249,‹
lsquo,,8216,
lt,<,60,<
macr,¯,175,¯
mdash,—,8212,—
micro,µ,181,µ
middot,·,183,·
minus,−,8722,−
Mu,Μ,924,Μ
mu,μ,956,μ
nabla,∇,8711,∇
nbsp, ,160, 
ndash,–,8211,–
ne,≠,8800,≠
ni,∋,8715,∋
not,¬,172,¬
notin,∉,8713,∉
nsub,⊄,8836,⊄
Ntilde,Ñ,209,Ñ
ntilde,ñ,241,ñ
Nu,Ν,925,Ν
nu,ν,957,ν
Oacute,Ó,211,Ó
oacute,ó,243,ó
Ocirc,Ô,212,Ô
ocirc,ô,244,ô
OElig,Œ,338,Œ
oelig,œ,339,œ
Ograve,Ò,210,Ò
ograve,ò,242,ò
oline,‾,8254,‾
Omega,Ω,937,Ω
omega,ω,969,ω
Omicron,Ο,927,Ο
omicron,ο,959,ο
oplus,⊕,8853,⊕
or,∨,8744,∨
ordf,ª,170,ª
ordm,º,186,º
Oslash,Ø,216,Ø
oslash,ø,248,ø
Otilde,Õ,213,Õ
otilde,õ,245,õ
otimes,⊗,8855,⊗
Ouml,Ö,214,Ö
ouml,ö,246,ö
para,¶,182,¶
part,∂,8706,∂
permil,‰,8240,‰
perp,⊥,8869,⊥
Phi,Φ,934,Φ
phi,φ,966,φ
Pi,Π,928,Π
pi,π,960,π
piv,ϖ,982,ϖ
plusmn,±,177,±
pound,£,163,£
prime,′,8242,′
Prime,″,8243,″
prod,∏,8719,∏
prop,∝,8733,∝
Psi,Ψ,936,Ψ
psi,ψ,968,ψ
quot,"""",34,""""
radic,√,8730,√
rang,⟩,9002,〉
raquo,»,187,»
rarr,→,8594,→
rArr,⇒,8658,⇒
rceil,⌉,8969,⌉
